pregunta,respuesta_esperada,seccion_fuente
"¿Cuál es el número CAS y el límite de exposición (TLV-TWA) para el Dióxido de titanio?","El número CAS es 13463-67-7 y el límite TLV-TWA es de 10 mg/m³.","Sección 3 y Sección 8"
"¿Cuál es la temperatura de ebullición a presión atmosférica del RECUBRIMIENTO ANTIGRAFFITI (FDS 31)?","La temperatura de ebullición a presión atmosférica es de 211 ºC.","Sección 9"
"En la PINTURA LAVABLE ANTIBACTERIAL (FDS 42), ¿qué porcentaje de Copolímero de etileno-acetato de vinilo contiene la mezcla?","Contiene entre 10 y <25 % de Copolímero de etileno-acetato de vinilo.","Sección 3"
"¿Cuáles son las condiciones de temperatura recomendadas para el almacenamiento seguro de la PINTURA TOTAL (FDS 49)?","Se recomienda una temperatura mínima de 5 ºC y una temperatura máxima de 30 ºC, con un tiempo máximo de almacenamiento de 6 meses.","Sección 7"
"¿Qué tipo de extintor se recomienda emplear preferentemente en caso de inflamación de la PINTURA EXTERIORES (FDS 67)?","Se recomienda emplear preferentemente extintores de polvo polivalente (polvo ABC).","Sección 5"
"¿En qué sección de las hojas de datos de seguridad se encuentra la información relativa a las consideraciones de gestión y eliminación de residuos?","Se encuentra detallada en la Sección 13: Información relativa a la eliminación de los productos.","Sección 13"
"Según la FDS 91 (PINTURA EXTERIORES), ¿qué equipo de protección personal se recomienda obligatoriamente para la cara en caso de riesgo de salpicaduras?","Se recomienda el uso de pantalla facial bajo normatividad NTC 1825, NTC 1826 y ANSI Z87.1.","Sección 8"
"¿Cuál es el rango de pH establecido para la PINTURA PRIMERA MANO & ACABADO (FDS 43)?","El rango de pH del producto es de 8,5 a 9,5.","Sección 9"
"¿En qué sección se especifican las indicaciones de peligro, consejos de prudencia y elementos de las etiquetas del SGA?","En la Sección 2: Identificación del peligro o peligros.","Sección 2"
"¿Qué medidas técnicas se deben tomar para prevenir riesgos medioambientales al manipular la PINTURA SEÑALIZACIÓN Y DEMARCACIÓN (FDS 61)?","Se recomienda manipular el producto dentro de un área que disponga de barreras de control de contaminación en caso de vertido y disponer de material absorbente en las proximidades.","Sección 7"
"¿Cuál es el número ONU y la clase relativa al transporte para la PINTURA COOLGUARD (FDS 92) en caso de transporte marítimo (IMDG)?","El número ONU es UN3082 y su clase relativa al transporte es 9 (Sustancia líquida peligrosa para el medio ambiente, N.E.P.).","Sección 14"
"¿Cuál es el valor de densidad relativa a 20 ºC del producto TEXTUCO (FDS 44)?","La densidad relativa a 20 ºC del producto es de 1,874.","Sección 9"
"¿Qué concentración de Compuestos Orgánicos Volátiles (COV) a 20 ºC presenta el ESMALTE METAL MASTER PREMIUM (FDS 94)?","Presenta una concentración C.O.V. a 20 ºC de 479,14 g/L (o 479,14 kg/m³), lo que equivale al 27,75 % en peso.","Sección 8"
"¿Cuáles son los materiales incompatibles que se deben evitar durante el almacenamiento de la PINTURA SUPERLAVABLE ZERO (FDS 68)?","Se debe evitar el contacto con ácidos fuertes y álcalis o bases fuertes.","Sección 10"
"¿En qué sección se detallan los productos de descomposición peligrosos como el dióxido de carbono (CO2) y el monóxido de carbono?","En la Sección 10: Estabilidad y reactividad (subsección 10.6).","Sección 10"
"¿Cuál es el punto de inflamación del RECUBRIMIENTO ANTIGRAFFITI (FDS 31)?","El punto de inflamación reportado es de 54 ºC.","Sección 9"
"¿Cuál es la toxicidad aguda (DL50 oral en ratas) para la sustancia Oxima de 2-butanona según la FDS 94?","La DL50 oral en ratas para la Oxima de 2-butanona es de 100 mg/kg.","Sección 11"
"En caso de derrame del producto TEXTUCO (FDS 44), ¿qué acción técnica se recomienda para prevenir riesgos al medio ambiente?","Se recomienda barrer y recoger el producto con palas u otros medios e introducirlo en un recipiente para su reutilización o eliminación.","Sección 7"
"¿En qué sección de las hojas de seguridad se provee información sobre los resultados de la valoración PBT y mPmB?","Se detalla en la Sección 12: Información Ecotoxicológica.","Sección 12"
"¿Qué clasificación de peligro de carcinogenicidad según el SGA tiene la PINTURA TOTAL (FDS 49)?","Está clasificada como Carc. 1B (Puede provocar cáncer).","Sección 2"
